Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A808010,"7100 E HWY
AUSTIN 78723",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Tortie Point,Intact Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808010
A807973,"841 AIRPORT BOULEVARD
AUSTIN 78702
(30.257771, -97.693214)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807973
A799282,"300 E GRADY
AUSTIN 78753
(30.373144, -97.683789)",Yes (come to the shelter),11/03/2019,Dog,German Shepherd,Black/Tan,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A799282
A808083,"9002 ROCKCREST
AUSTIN 78759
(30.384999, -97.749034)",No (contact for more info),11/03/2019,Cat,Domestic Shorthair Mix,Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808083
A808082,"3600 PRESIDENTIAL BOULEVARD
AUSTIN 78719
(30.202653, -97.667267)",Yes (come to the shelter),11/03/2019,Dog,Pit Bull,Blue/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808082
A806767,"3701 BONNIE ROAD
AUSTIN 78703
(30.296146, -97.781663)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair Mix,Orange Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A806767
A781697,"7111 GRAND CANYON
AUSTIN 78752
(30.32784, -97.694498)",Yes (come to the shelter),11/03/2019,Dog,Cairn Terrier,White/Brown,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A781697
A807972,"5208 GARDEN OAKS DRIVE
AUSTIN 78745",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair Mix,Cream Tabby,Neutered Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807972
A807977,"1200 EAST PARMER LANE
AUSTIN 78753
(30.395059, -97.653607)",No (contact for more info),11/02/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807977
A807978,"1200 EAST PARMER LANE
AUSTIN 78753
(30.395059, -97.653607)",No (contact for more info),11/02/2019,Cat,Domestic Shorthair Mix,Black/White,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807978
A808077,"CURLEW DRIVE AUSTIN 78748
(30.166107, -97.825259)",No (contact for more info),11/03/2019,Dog,American Bulldog Mix,White/Blue,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808077
A807993,183 AUSTIN78758,Yes (come to the shelter),11/02/2019,Dog,Pointer/Border Collie,Black/Gray,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807993
A807986,"12916 JOHN ADAMS ST78653
(30.354968, -97.519162)",Yes (come to the shelter),11/02/2019,Dog,Pit Bull/Boxer,Tan/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807986
A808016,"5012 RED BLUFF ROAD
AUSTIN 78702
(30.250435, -97.69913)",No (contact for more info),11/02/2019,Cat,Domestic Shorthair Mix,Black/White,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808016
A808012,"9010 SEDGEMOOR TRAIL
AUSTIN 78748
(30.182601, -97.821361)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Black/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808012
A808019,"5250 EAST WILLIAM CANNON DRIVE
AUSTIN 78744
(30.18008, -97.747847)",No (contact for more info),11/02/2019,Dog,Doberman Pinsch,Chocolate/Tan,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808019
A808013,"9010 SEDGEMOOR TRAIL
AUSTIN 78748
(30.182601, -97.821361)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Black/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808013
A808014,"9010 SEDGEMOOR TRAIL
AUSTIN 78748
(30.182601, -97.821361)",Yes (come to the shelter),11/02/2019,Cat,Domestic Shorthair,Blue/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808014
A808015,"12911 MODENA TRAIL
AUSTIN 78729
(30.446732, -97.760594)",No (contact for more info),11/02/2019,Cat,Domestic Shorthair,Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808015
A808031,"SOUTH WILLIAM CANNON
AUSTIN 78745",Yes (come to the shelter),11/03/2019,Dog,Chihuahua Shorthair Mix,Red/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808031
A808084,"4901 TERRI ROAD
AUSTIN 78744
(30.195334, -97.740251)",Yes (come to the shelter),11/03/2019,Dog,Australian Cattle Dog Mix,Brown/Tricolor,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808084
